Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
8.680171966552734	0	13.614796	4.196948	42.0	7.0	13.614795918367347	4.196948047990868	16011	16011
16.708034992218018	1	13.87771	3.3099182	25.0	7.0	13.877710320901995	3.3099179661998277	16001	32012
24.21570658683777	2	23.904478	7.593584	46.0	10.0	23.904477611940298	7.593583953866853	16016	48028
32.108277559280396	3	54.52721	26.181683	200.0	19.0	54.52721088435374	26.18168352273741	16031	64059
40.158432722091675	4	95.11243	48.24045	328.0	39.0	95.11242603550296	48.240451972803776	16074	80133
47.80310344696045	5	103.48387	35.433964	217.0	52.0	103.48387096774194	35.43396490496903	16040	96173
55.48553943634033	6	128.688	59.473885	414.0	59.0	128.688	59.47388213325241	16086	112259
63.1795220375061	7	134.60504	51.626198	331.0	78.0	134.60504201680672	51.62619660849266	16018	128277
71.43176984786987	8	137.64102	63.645855	443.0	78.0	137.64102564102564	63.64584993801777	16104	144381
79.25992965698242	9	132.80165	33.1938	220.0	82.0	132.80165289256198	33.19380103302441	16069	160450
86.89674735069275	10	126.32284	28.41561	186.0	81.0	126.32283464566929	28.41561118283254	16043	176493
94.82487559318542	11	122.96183	26.020077	184.0	85.0	122.9618320610687	26.020075801871815	16108	192601
102.66211771965027	12	123.707695	26.211988	179.0	84.0	123.70769230769231	26.211989668219847	16082	208683
110.28986263275146	13	128.016	23.350199	173.0	86.0	128.016	23.350197943486478	16002	224685
117.92971134185791	14	128.19841	25.23918	190.0	86.0	128.1984126984127	25.2391796213083	16153	240838
126.00142478942871	15	127.09449	22.930033	176.0	88.0	127.09448818897638	22.93003156501742	16141	256979
134.06170392036438	16	128.44	21.756248	170.0	88.0	128.44	21.756249676817003	16055	273034
142.28608059883118	17	125.86719	23.462526	173.0	87.0	125.8671875	23.46252700243185	16111	289145
150.4433650970459	18	128.416	21.700575	168.0	89.0	128.416	21.70057473893261	16052	305197
158.3883695602417	19	127.11905	22.448746	166.0	88.0	127.11904761904762	22.448744845196057	16017	321214
166.41970872879028	20	121.59849	19.293922	157.0	87.0	121.59848484848484	19.293922676577992	16051	337265
174.6411910057068	21	121.492424	20.016468	158.0	84.0	121.49242424242425	20.016469057178593	16037	353302
182.49499368667603	22	119.716415	19.504156	156.0	85.0	119.71641791044776	19.504156441946368	16042	369344
190.3191785812378	23	114.13475	17.354551	145.0	84.0	114.13475177304964	17.35455051333637	16093	385437
198.04409003257751	24	109.408165	17.754467	146.0	83.0	109.40816326530613	17.754468672728436	16083	401520
205.67055749893188	25	109.46939	16.256575	138.0	80.0	109.46938775510205	16.256576323900923	16092	417612
213.50370526313782	26	107.12666	16.32066	139.0	82.0	107.12666666666667	16.320660389688758	16069	433681
221.45580983161926	27	111.15278	15.389084	142.0	82.0	111.15277777777777	15.38908318168563	16006	449687
229.61777186393738	28	109.38095	16.557602	139.0	80.0	109.38095238095238	16.557602332805853	16079	465766
237.8519949913025	29	105.51316	15.887759	140.0	79.0	105.51315789473684	15.887758794159264	16038	481804
245.4646201133728	30	105.375	15.69563	135.0	79.0	105.375	15.695629839309781	16017	497821
253.274240732193	31	105.61842	15.062996	131.0	78.0	105.61842105263158	15.062996753340144	16054	513875
261.0353672504425	32	104.42857	15.700879	134.0	78.0	104.42857142857143	15.700879759806805	16082	529957
268.65098452568054	33	104.98039	14.211967	135.0	79.0	104.98039215686275	14.21196705911431	16062	546019
276.43377590179443	34	105.47369	15.239296	135.0	80.0	105.47368421052632	15.239296229960475	16032	562051
284.35310888290405	35	106.9	13.929226	139.0	81.0	106.9	13.929225869851251	16035	578086
292.2126524448395	36	105.86842	15.463746	136.0	82.0	105.86842105263158	15.463745465530486	16092	594178
300.184939622879	37	107.77853	15.704846	144.0	83.0	107.77852348993288	15.704847128300031	16059	610237
308.3226361274719	38	110.246574	15.614606	141.0	83.0	110.24657534246575	15.61460575644659	16096	626333
316.20586013793945	39	108.39865	16.576498	142.0	82.0	108.39864864864865	16.57649747214772	16043	642376
324.13374185562134	40	112.88028	17.291815	145.0	83.0	112.88028169014085	17.291812926551337	16029	658405
331.9524471759796	41	114.17731	17.225779	144.0	83.0	114.177304964539	17.225778014295226	16099	674504
339.6044280529022	42	111.993004	16.738005	144.0	85.0	111.99300699300699	16.73800436906062	16015	690519
