Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
16.907341241836548	0	12.012758	2.839124	23.0	6.0	12.012757973733583	2.8391240245190987	32014	32014
32.86896228790283	1	36.130924	18.193493	179.0	10.0	36.13092550790068	18.193492642658498	32012	64026
48.719048738479614	2	77.15422	33.752827	237.0	29.0	77.15421686746988	33.75282692740747	32019	96045
64.57585000991821	3	92.489914	40.300552	367.0	43.0	92.48991354466858	40.300553649896706	32094	128139
79.49021196365356	4	102.07325	46.149002	378.0	45.0	102.0732484076433	46.149001110106234	32051	160190
94.78275728225708	5	121.30303	51.070946	324.0	52.0	121.3030303030303	51.070945810399664	32024	192214
110.18575406074524	6	152.9762	60.158237	368.0	71.0	152.97619047619048	60.158238993681174	32125	224339
125.9627411365509	7	230.60431	109.417725	539.0	93.0	230.6043165467626	109.41772762243819	32054	256393
141.70174264907837	8	502.21875	203.03598	1000.0	118.0	502.21875	203.035978088706	32142	288535
157.2013337612152	9	499.12308	167.0387	832.0	116.0	499.12307692307695	167.03868807437834	32443	320978
172.964985370636	10	515.8254	121.9665	749.0	260.0	515.8253968253969	121.96649809102728	32497	353475
188.73726987838745	11	767.1667	255.77899	1000.0	290.0	767.1666666666666	255.77900772669125	32221	385696
204.3344349861145	12	881.6486	181.50737	1000.0	402.0	881.6486486486486	181.50738444008812	32621	418317
219.925035238266	13	783.8293	216.19559	1000.0	375.0	783.829268292683	216.19558697229198	32137	450454
235.71066284179688	14	784.63416	244.88113	1000.0	294.0	784.6341463414634	244.88113155187136	32170	482624
251.78990697860718	15	692.8298	267.3679	1000.0	287.0	692.8297872340426	267.36788896367284	32563	515187
267.40857696533203	16	231.79137	84.56069	381.0	100.0	231.79136690647482	84.5606908029187	32219	547406
283.28304076194763	17	133.41667	25.533176	177.0	88.0	133.41666666666666	25.533175586980082	32020	579426
298.88888573646545	18	123.62934	23.322517	164.0	84.0	123.62934362934362	23.322517744276926	32020	611446
314.8383252620697	19	118.13653	20.935848	157.0	80.0	118.13653136531366	20.93584897897428	32015	643461
330.8019554615021	20	113.36396	20.190569	152.0	79.0	113.36395759717314	20.190568449206403	32082	675543
346.75378918647766	21	109.10204	18.988085	145.0	77.0	109.10204081632654	18.988086022584138	32076	707619
362.5674030780792	22	107.74832	19.096376	144.0	77.0	107.74832214765101	19.096375509177026	32109	739728
378.0169429779053	23	108.304054	19.781803	147.0	78.0	108.30405405405405	19.781802579501583	32058	771786
393.8512771129608	24	110.441376	19.627348	147.0	79.0	110.44137931034483	19.627347515935416	32028	803814
409.7896771430969	25	112.48421	18.719273	148.0	78.0	112.48421052631579	18.719272266872252	32058	835872
425.3973433971405	26	110.52759	18.784832	151.0	79.0	110.52758620689656	18.78483240958943	32053	867925
440.6435902118683	27	109.84931	18.975595	146.0	79.0	109.84931506849315	18.975594442925253	32076	900001
456.37665462493896	28	108.89796	18.12963	143.0	78.0	108.89795918367346	18.129629483881455	32016	932017
471.98471450805664	29	105.26974	16.477245	138.0	77.0	105.26973684210526	16.477245232655356	32002	964019
487.37245059013367	30	103.711975	17.581558	136.0	77.0	103.71197411003236	17.581558970807734	32047	996066
503.08751583099365	31	102.91987	17.505219	136.0	75.0	102.9198717948718	17.505218708569327	32111	1028177
518.3884053230286	32	101.1735	15.880017	136.0	75.0	101.17350157728707	15.880017144867661	32072	1060249
534.4069972038269	33	99.13932	15.625328	130.0	74.0	99.13931888544892	15.625327800911192	32022	1092271
550.760048866272	34	99.28173	15.861568	132.0	74.0	99.28173374613003	15.861568546220338	32068	1124339
566.4358060359955	35	97.564026	15.596929	131.0	74.0	97.5640243902439	15.596928978500246	32001	1156340
582.27432513237	36	98.97531	15.340557	128.0	75.0	98.9753086419753	15.340558127727043	32068	1188408
597.967547416687	37	95.172104	15.759695	126.0	44.0	95.17210682492582	15.75969559837923	32073	1220481
614.2300713062286	38	92.86957	15.33218	124.0	45.0	92.8695652173913	15.332179896892491	32040	1252521
629.7851214408875	39	94.59882	14.353054	122.0	57.0	94.59882005899705	14.353053546209761	32069	1284590
645.2194819450378	40	95.59104	14.151311	123.0	73.0	95.5910447761194	14.151311645798156	32023	1316613
660.6042995452881	41	97.19697	13.815472	124.0	74.0	97.1969696969697	13.815471890041842	32075	1348688
675.859147310257	42	97.23637	13.452449	123.0	73.0	97.23636363636363	13.452448649061902	32088	1380776
691.8572380542755	43	98.100914	13.534831	126.0	75.0	98.10091743119266	13.53483101240894	32079	1412855
707.3928990364075	44	100.80189	14.484921	134.0	77.0	100.80188679245283	14.484921553631454	32055	1444910
723.1465420722961	45	108.07071	15.208707	138.0	80.0	108.07070707070707	15.208706875336782	32097	1477007
738.7264494895935	46	119.6903	16.41592	149.0	87.0	119.69029850746269	16.41592041874215	32077	1509084
754.6417760848999	47	149.82243	25.125223	223.0	101.0	149.82242990654206	25.12522398063075	32062	1541146
769.5371935367584	48	238.99254	21.501648	276.0	195.0	238.99253731343285	21.501647374810545	32025	1573171
784.5831191539764	49	374.5	28.92241	434.0	314.0	374.5	28.922410237625225	32207	1605378
800.2117900848389	50	774.7619	71.621956	951.0	637.0	774.7619047619048	71.621960427089	32540	1637918
815.9023308753967	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	33000	1670918
