Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
16.366238355636597	0	11.295695	2.984446	41.0	6.0	11.295695130557515	2.9844461227082326	32012	32012
32.22774934768677	1	15.569066	6.1280193	63.0	7.0	15.569066147859923	6.128019489470375	32010	64022
47.7721905708313	2	19.571516	9.604293	85.0	7.0	19.57151589242054	9.604292815681758	32019	96041
63.41141366958618	3	33.689075	17.407436	153.0	10.0	33.6890756302521	17.40743726844317	32072	128113
79.11498093605042	4	41.06282	19.772291	163.0	13.0	41.062820512820515	19.772290951748733	32029	160142
95.64401602745056	5	47.863976	22.62724	155.0	15.0	47.86397608370702	22.627239355970335	32021	192163
112.11645531654358	6	53.833614	24.833176	210.0	17.0	53.83361344537815	24.83317541573624	32031	224194
128.73981881141663	7	59.8729	29.44348	247.0	25.0	59.87289719626168	29.443478468355845	32032	256226
145.03672575950623	8	62.139263	26.276318	173.0	29.0	62.13926499032882	26.276316749059372	32126	288352
160.05756640434265	9	71.79866	32.453026	304.0	27.0	71.79865771812081	32.45302504986734	32094	320446
175.76818227767944	10	83.171425	38.18753	262.0	29.0	83.17142857142858	38.187530626655885	32021	352467
191.23938989639282	11	92.86667	40.456734	252.0	34.0	92.86666666666666	40.45673540479417	32039	384506
206.79401087760925	12	118.651855	53.415676	398.0	46.0	118.65185185185184	53.41567511903689	32036	416542
221.56711673736572	13	153.9375	69.47952	482.0	79.0	153.9375	69.47952754298315	32019	448561
237.53351497650146	14	196.65031	81.67229	471.0	95.0	196.65030674846625	81.67228646980882	32054	480615
252.72168016433716	15	312.28156	155.85782	1000.0	112.0	312.28155339805824	155.85781530536644	32165	512780
268.232204914093	16	419.4026	174.83975	929.0	168.0	419.4025974025974	174.83976038486017	32294	545074
283.43008255958557	17	510.98413	176.60596	1000.0	172.0	510.984126984127	176.60596370087288	32192	577266
299.2897388935089	18	444.90277	178.92358	930.0	157.0	444.90277777777777	178.92356839057646	32033	609299
314.6278450489044	19	446.65277	160.62415	864.0	168.0	446.65277777777777	160.62414372640094	32159	641458
330.20608353614807	20	449.81946	177.08412	958.0	168.0	449.81944444444446	177.08412363658073	32387	673845
346.20760560035706	21	624.5769	218.82442	1000.0	246.0	624.5769230769231	218.82442436397463	32478	706323
362.06244826316833	22	679.9583	235.31017	1000.0	248.0	679.9583333333334	235.31016396213928	32638	738961
377.741131067276	23	539.18335	164.06071	1000.0	242.0	539.1833333333333	164.0607094611287	32351	771312
393.62094044685364	24	552.4138	171.32124	1000.0	332.0	552.4137931034483	171.3212383398568	32040	803352
409.03477716445923	25	509.22223	204.55135	1000.0	224.0	509.22222222222223	204.55134368804704	32081	835433
424.9416995048523	26	401.525	187.88753	1000.0	213.0	401.525	187.8875311855473	32122	867555
440.57613945007324	27	386.70587	183.22855	1000.0	204.0	386.70588235294116	183.22855053212587	32870	900425
456.7858500480652	28	314.4466	111.768456	648.0	136.0	314.4466019417476	111.76846109802258	32388	932813
471.8613884449005	29	289.18918	83.68189	490.0	130.0	289.18918918918916	83.68188514334742	32100	964913
487.31082105636597	30	300.3458	85.801575	641.0	194.0	300.3457943925234	85.80156445905446	32137	997050
503.03768825531006	31	403.2125	170.20514	1000.0	213.0	403.2125	170.20514781800816	32257	1029307
519.3194596767426	32	460.3	154.82758	1000.0	239.0	460.3	154.82758613558318	32221	1061528
535.60986161232	33	682.6667	205.6183	1000.0	295.0	682.6666666666666	205.6183087394916	32768	1094296
551.6406717300415	34	727.0222	284.7993	1000.0	256.0	727.0222222222222	284.79930468773495	32716	1127012
567.4527864456177	35	719.95557	262.35245	1000.0	261.0	719.9555555555555	262.35243094869804	32398	1159410
583.4282689094543	36	816.625	199.49031	1000.0	385.0	816.625	199.49031148153537	32665	1192075
599.1358087062836	37	896.1111	181.09447	1000.0	385.0	896.1111111111111	181.09447776379932	32260	1224335
615.2568039894104	38	862.2105	161.20633	1000.0	542.0	862.2105263157895	161.2063336052893	32764	1257099
631.297521352768	39	572.5088	133.05191	824.0	255.0	572.5087719298245	133.05191214921348	32633	1289732
647.2654099464417	40	510.50793	100.771935	748.0	278.0	510.5079365079365	100.77192116726762	32162	1321894
662.5712401866913	41	534.23334	127.514885	789.0	250.0	534.2333333333333	127.51488366287113	32054	1353948
677.5937533378601	42	498.6769	129.2411	757.0	245.0	498.67692307692306	129.24111130778397	32414	1386362
692.6575603485107	43	603.81134	148.65498	1000.0	269.0	603.811320754717	148.65498317508198	32002	1418364
708.5785253047943	44	648.36	197.06625	1000.0	260.0	648.36	197.06625890801297	32418	1450782
724.6686637401581	45	725.8444	187.79279	1000.0	410.0	725.8444444444444	187.7927883546775	32663	1483445
740.6044914722443	46	640.96	207.42874	1000.0	312.0	640.96	207.42873089328776	32048	1515493
756.9547982215881	47	620.3077	196.98991	1000.0	236.0	620.3076923076923	196.9899000204304	32256	1547749
773.5234351158142	48	558.13794	174.43983	1000.0	251.0	558.1379310344828	174.43983729956494	32372	1580121
788.7635433673859	49	386.9518	86.271065	588.0	251.0	386.95180722891564	86.27106393593125	32117	1612238
803.7248330116272	50	314.65686	47.74719	443.0	116.0	314.65686274509807	47.74718862435966	32095	1644333
818.9600377082825	51	291.4909	41.862705	374.0	105.0	291.4909090909091	41.86270752103518	32064	1676397
834.6148886680603	52	275.78632	51.912457	345.0	113.0	275.78632478632477	51.91245573898213	32267	1708664
850.2777564525604	53	269.06723	55.767338	347.0	118.0	269.06722689075633	55.767333453780616	32019	1740683
866.0678625106812	54	237.25185	65.68778	327.0	101.0	237.25185185185185	65.68778211199452	32029	1772712
882.1184005737305	55	201.34592	59.491875	310.0	103.0	201.34591194968553	59.49187222340826	32014	1804726
897.6424264907837	56	192.78313	50.01531	301.0	99.0	192.78313253012047	50.01531047342924	32002	1836728
913.2262606620789	57	170.06879	42.286007	281.0	96.0	170.06878306878306	42.2860069053648	32143	1868871
929.0569002628326	58	162.51776	41.973354	296.0	90.0	162.51776649746193	41.97335315062281	32016	1900887
944.6965992450714	59	167.95288	38.075054	287.0	93.0	167.95287958115182	38.07505510896792	32079	1932966
960.5289096832275	60	168.72105	41.019005	287.0	97.0	168.72105263157894	41.01900816049694	32057	1965023
975.7716917991638	61	162.91878	39.64069	286.0	95.0	162.91878172588832	39.640689531542115	32095	1997118
991.7075464725494	62	160.81407	37.46557	255.0	94.0	160.8140703517588	37.46557016453699	32002	2029120
1007.6179609298706	63	159.21393	36.083775	245.0	94.0	159.2139303482587	36.083774898429375	32002	2061122
1022.6659371852875	64	167.75916	38.78123	259.0	98.0	167.7591623036649	38.78123105344618	32042	2093164
1038.3418838977814	65	164.85641	37.189327	247.0	95.0	164.85641025641024	37.18932707985185	32147	2125311
1053.7914817333221	66	155.6699	36.779423	249.0	95.0	155.66990291262135	36.77942342355593	32068	2157379
1069.4520089626312	67	159.84079	35.317528	233.0	93.0	159.8407960199005	35.317529470838785	32128	2189507
1084.6187725067139	68	155.70874	37.120934	266.0	95.0	155.70873786407768	37.1209335827845	32076	2221583
1099.8299787044525	69	157.44118	35.824894	239.0	94.0	157.44117647058823	35.82489372462427	32118	2253701
1116.0731492042542	70	162.17677	38.71515	246.0	95.0	162.17676767676767	38.71514810229181	32111	2285812
1131.891303062439	71	161.70203	39.19231	264.0	96.0	161.7020202020202	39.19231392334801	32017	2317829
1147.7213411331177	72	170.01587	39.716385	263.0	99.0	170.015873015873	39.71638556614765	32133	2349962
1162.9561450481415	73	193.30121	51.315872	283.0	103.0	193.3012048192771	51.31587390088043	32088	2382050
1178.0682983398438	74	217.70749	56.37957	318.0	105.0	217.7074829931973	56.379570150892164	32003	2414053
1193.4537272453308	75	242.5	61.42099	360.0	119.0	242.5	61.42098891085912	32010	2446063
1209.1106510162354	76	264.16394	55.658115	375.0	130.0	264.1639344262295	55.6581133755025	32228	2478291
1224.637046098709	77	281.0263	62.555584	435.0	125.0	281.0263157894737	62.55558377847008	32037	2510328
1240.130994796753	78	311.60193	66.73194	463.0	152.0	311.6019417475728	66.73194309503751	32095	2542423
1255.8097639083862	79	322.32	70.81905	477.0	143.0	322.32	70.81904828504828	32232	2574655
1271.5700883865356	80	345.33334	79.06432	491.0	218.0	345.3333333333333	79.06433114104844	32116	2606771
1287.21484041214	81	395.2963	85.19165	548.0	247.0	395.2962962962963	85.19164226735217	32019	2638790
1302.7291676998138	82	408.72153	95.83265	608.0	240.0	408.72151898734177	95.83265170008545	32289	2671079
1317.6335175037384	83	594.9259	142.30795	1000.0	304.0	594.925925925926	142.3079409892052	32126	2703205
1332.666936159134	84	745.67444	188.87854	1000.0	413.0	745.6744186046511	188.8785411291621	32064	2735269
1348.60760140419	85	591.87274	151.00838	860.0	269.0	591.8727272727273	151.00837478828237	32553	2767822
1364.4236280918121	86	522.80646	113.47898	831.0	267.0	522.8064516129032	113.47897896991365	32414	2800236
1379.9799828529358	87	447.3889	105.07848	702.0	251.0	447.3888888888889	105.07848330805403	32212	2832448
1396.4195334911346	88	447.7361	86.4984	635.0	240.0	447.7361111111111	86.49839321814589	32237	2864685
1412.5532972812653	89	400.6125	81.788826	589.0	239.0	400.6125	81.78882774407516	32049	2896734
1428.2527422904968	90	348.17392	82.99195	491.0	226.0	348.17391304347825	82.9919598902642	32032	2928766
1443.6576209068298	91	339.35788	73.02832	505.0	222.0	339.3578947368421	73.02831690003596	32239	2961005
1459.1643407344818	92	348.15216	76.16971	503.0	221.0	348.1521739130435	76.16970965670767	32030	2993035
1474.2292683124542	93	368.6092	83.223885	503.0	217.0	368.60919540229884	83.22388532061197	32069	3025104
1489.8359038829803	94	365.31818	81.770546	573.0	223.0	365.3181818181818	81.77054168588653	32148	3057252
1505.5276341438293	95	421.6316	98.03085	643.0	237.0	421.63157894736844	98.03085471653449	32044	3089296
1521.5853309631348	96	439.76712	94.018295	620.0	237.0	439.7671232876712	94.01829034353787	32103	3121399
1537.3880622386932	97	426.78946	91.32869	617.0	252.0	426.7894736842105	91.32868860813062	32436	3153835
1552.7957713603973	98	385.83133	81.89957	585.0	237.0	385.8313253012048	81.89955930227114	32024	3185859
1568.5036470890045	99	311.13593	57.133133	417.0	200.0	311.13592233009706	57.13313502122205	32047	3217906
