Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
16.492029666900635	0	13.595158	4.195478	50.0	7.0	13.595157179269329	4.195477639298501	32003	32003
32.29888296127319	1	20.500961	8.683718	85.0	8.0	20.500960922485586	8.68371750745461	32002	64005
48.41668963432312	2	27.649395	10.393537	79.0	9.0	27.649395509499136	10.393536859167883	32018	96023
64.36887240409851	3	77.16627	38.926857	246.0	13.0	77.16626506024096	38.92685534143641	32024	128047
80.10103797912598	4	90.77337	41.058926	279.0	20.0	90.77337110481587	41.0589250333746	32043	160090
95.8269510269165	5	114.935486	46.94177	324.0	26.0	114.93548387096774	46.94177124745408	32067	192157
111.92244601249695	6	137.1624	50.335274	317.0	69.0	137.16239316239316	50.335278832320725	32096	224253
127.7023377418518	7	166.91667	61.459106	462.0	79.0	166.91666666666666	61.459110164581965	32048	256301
142.72148942947388	8	194.11516	64.751595	419.0	91.0	194.11515151515152	64.7515911643133	32029	288330
157.89580488204956	9	241.0376	78.01719	506.0	86.0	241.0375939849624	78.01719552264494	32058	320388
173.19046115875244	10	321.68	102.63517	659.0	100.0	321.68	102.63516746223002	32168	352556
189.19080781936646	11	458.8	165.13661	917.0	94.0	458.8	165.1366187650179	32116	384672
205.20567727088928	12	673.3542	313.81454	1000.0	193.0	673.3541666666666	313.8145345040159	32321	416993
221.12892651557922	13	440.93152	203.76015	932.0	160.0	440.93150684931504	203.76015505525208	32188	449181
236.24938249588013	14	318.75247	104.42292	554.0	111.0	318.7524752475247	104.42292206354404	32194	481375
251.94219660758972	15	283.38937	82.73985	509.0	107.0	283.3893805309734	82.73985606122473	32023	513398
267.89702916145325	16	280.9649	73.191284	421.0	107.0	280.96491228070175	73.19128145573526	32030	545428
283.4180920124054	17	295.59634	59.971115	387.0	112.0	295.5963302752294	59.97111219962263	32220	577648
298.682466506958	18	311.67963	59.501198	467.0	110.0	311.6796116504854	59.501197441199146	32103	609751
314.07915568351746	19	338.32632	48.50034	499.0	149.0	338.3263157894737	48.500340119320306	32141	641892
329.5004975795746	20	358.17776	78.89467	561.0	123.0	358.1777777777778	78.89466645510156	32236	674128
345.68626403808594	21	450.22223	132.49835	801.0	254.0	450.22222222222223	132.49834613456525	32416	706544
361.69827127456665	22	489.68182	135.96404	898.0	249.0	489.6818181818182	135.9640281182812	32319	738863
377.277551651001	23	546.38983	218.06506	1000.0	166.0	546.3898305084746	218.06506702336227	32237	771100
392.9134724140167	24	559.5172	195.3035	1000.0	256.0	559.5172413793103	195.3034986867531	32452	803552
409.3509693145752	25	571.6964	184.94139	1000.0	172.0	571.6964285714286	184.94139222649284	32015	835567
425.32032108306885	26	610.3019	230.4454	1000.0	189.0	610.3018867924528	230.44539196018937	32346	867913
440.80764150619507	27	697.6087	239.35207	1000.0	342.0	697.6086956521739	239.35206725302933	32090	900003
456.6440577507019	28	684.6875	259.18036	1000.0	248.0	684.6875	259.1803712547499	32865	932868
473.45419573783875	29	841.9231	200.12038	1000.0	264.0	841.9230769230769	200.1203976860423	32835	965703
489.5926821231842	30	924.9143	140.16447	1000.0	503.0	924.9142857142857	140.16446899035054	32372	998075
506.0573637485504	31	965.35297	111.55686	1000.0	400.0	965.3529411764706	111.55686557113087	32822	1030897
521.9482803344727	32	970.2059	87.125595	1000.0	597.0	970.2058823529412	87.12559541927176	32987	1063884
537.138121843338	33	586.7273	198.78792	1000.0	294.0	586.7272727272727	198.78791389504494	32270	1096154
552.726086139679	34	416.2857	139.11024	679.0	113.0	416.2857142857143	139.1102391166344	32054	1128208
569.0507051944733	35	303.19812	104.32138	472.0	100.0	303.1981132075472	104.32138475497116	32139	1160347
584.8401963710785	36	220.56165	82.873314	387.0	96.0	220.56164383561645	82.87331250809834	32202	1192549
600.4756278991699	37	198.60493	60.44101	341.0	95.0	198.60493827160494	60.44100868755442	32174	1224723
616.164213180542	38	179.87709	54.630875	302.0	90.0	179.87709497206703	54.63087387537955	32198	1256921
632.4390404224396	39	175.69945	53.89336	270.0	90.0	175.69945355191257	53.89336110585509	32153	1289074
647.7463486194611	40	168.97894	49.569725	283.0	91.0	168.97894736842105	49.56972313341628	32106	1321180
663.2720680236816	41	160.62	48.457874	256.0	86.0	160.62	48.457874489085874	32124	1353304
678.2678382396698	42	154.11058	46.61093	246.0	82.0	154.11057692307693	46.610933469497574	32055	1385359
694.2010037899017	43	152.45714	44.10162	252.0	84.0	152.45714285714286	44.10162043700966	32016	1417375
710.5115356445312	44	148.0599	46.134758	247.0	83.0	148.05990783410138	46.13475659294327	32129	1449504
726.5819051265717	45	143.0089	44.481705	238.0	81.0	143.0088888888889	44.481705713808644	32177	1481681
742.5642030239105	46	142.44	44.415585	240.0	84.0	142.44	44.41558485236661	32049	1513730
757.8039810657501	47	143.05803	43.829227	237.0	82.0	143.05803571428572	43.82922650631176	32045	1545775
773.4668471813202	48	138.66234	42.059105	234.0	82.0	138.66233766233765	42.05910407067625	32031	1577806
788.8078608512878	49	132.92946	42.387062	230.0	81.0	132.92946058091286	42.387062577900885	32036	1609842
804.6125857830048	50	131.73251	41.004448	230.0	69.0	131.73251028806584	41.00444687159892	32011	1641853
820.3789324760437	51	129.46774	40.963486	226.0	63.0	129.46774193548387	40.96348403069986	32108	1673961
