Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
8.5073561668396	0	11.310247	2.9510496	36.0	6.0	11.310247349823321	2.951049572337618	16004	16004
16.470654010772705	1	12.4949255	3.6808913	32.0	7.0	12.494925839188134	3.6808911177498422	16006	32010
24.837008953094482	2	13.867417	4.636222	43.0	7.0	13.867417677642981	4.636221914832125	16003	48013
32.81879806518555	3	15.6146345	5.460526	42.0	7.0	15.614634146341464	5.460526239967226	16005	64018
40.73164129257202	4	16.605808	6.3515778	43.0	7.0	16.605809128630707	6.351577667645452	16008	80026
48.836074352264404	5	17.805555	7.242542	55.0	7.0	17.805555555555557	7.242541928097269	16025	96051
56.696213722229004	6	19.348248	8.734129	73.0	8.0	19.348246674727932	8.734129151822952	16001	112052
64.66550803184509	7	18.99051	8.074529	68.0	7.0	18.990510083036774	8.074528590455506	16009	128061
72.58923125267029	8	20.922977	9.965506	80.0	7.0	20.922976501305484	9.965505494285171	16027	144088
80.25267839431763	9	22.257301	10.813078	74.0	7.0	22.25730180806676	10.813078618732614	16003	160091
88.09641480445862	10	24.813953	12.29569	82.0	8.0	24.813953488372093	12.29568995000581	16005	176096
95.98029327392578	11	27.736568	14.433854	94.0	7.0	27.736568457538993	14.433854292933898	16004	192100
104.00362801551819	12	32.05	17.834671	123.0	9.0	32.05	17.834671289373404	16025	208125
112.2210385799408	13	33.482254	17.971886	124.0	10.0	33.48225469728601	17.971887067589822	16038	224163
120.08870697021484	14	37.658825	19.006966	147.0	12.0	37.65882352941176	19.00696648827753	16005	240168
128.10535287857056	15	37.0	17.064476	133.0	12.0	37.0	17.064474936249418	16021	256189
136.26312565803528	16	42.107895	20.849876	117.0	12.0	42.107894736842105	20.84987544553163	16001	272190
144.31722331047058	17	43.722073	22.494423	163.0	12.0	43.72207084468665	22.494422634567798	16046	288236
152.2236304283142	18	43.991756	20.537354	127.0	14.0	43.99175824175824	20.53735375130857	16013	304249
160.19334959983826	19	45.200565	21.419851	148.0	16.0	45.20056497175141	21.419851917741685	16001	320250
168.18328881263733	20	45.703705	23.006205	156.0	14.0	45.7037037037037	23.00620411710764	16042	336292
176.15106081962585	21	48.95413	22.786625	158.0	14.0	48.95412844036697	22.786625719973493	16008	352300
184.20587873458862	22	49.312885	23.417135	169.0	15.0	49.31288343558282	23.41713532127968	16076	368376
192.25530099868774	23	49.674923	20.774096	147.0	19.0	49.6749226006192	20.774095776581145	16045	384421
200.48611068725586	24	53.37	24.403002	154.0	19.0	53.37	24.403000498572574	16011	400432
208.73562335968018	25	53.71141	22.152098	178.0	20.0	53.711409395973156	22.15209636087267	16006	416438
217.10065269470215	26	58.294544	28.617298	202.0	21.0	58.29454545454546	28.617295585215075	16031	432469
225.26311564445496	27	57.29643	24.934084	152.0	21.0	57.29642857142857	24.934084275815493	16043	448512
232.84359741210938	28	61.779922	30.955845	222.0	23.0	61.77992277992278	30.955844477738683	16001	464513
240.8264217376709	29	63.304348	29.422474	187.0	17.0	63.30434782608695	29.422475693898846	16016	480529
248.9235119819641	30	66.78333	28.427887	179.0	27.0	66.78333333333333	28.42788634813046	16028	496557
257.0334804058075	31	69.19827	30.578255	187.0	21.0	69.19827586206897	30.578254564310274	16054	512611
265.1735932826996	32	72.781815	35.961693	219.0	20.0	72.78181818181818	35.96169219857603	16012	528623
272.92512583732605	33	80.105	46.55775	383.0	28.0	80.105	46.557748818000206	16021	544644
